Species2,COMMON.NAME,Family2,Order2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,X1_Taxon_sort_1,X2_Taxon_sort_CandB_1,X4_Genus_name_2,X5_Species_name_2,X6_Subspecies_name_2,X8_Taxonomic_notes_2,X9_Family_common_name_2,X10_Family_scientific_name_2,X11_Order_2,X12_Sequence_of_orders_2,X13_Family_within_order_2,X14_Genus_within_family_2,X15_Species_within_genus_2,X16_Subspecies_within_species_2,X17_Species_2,X18_Subspecies_2,X19_Ultrataxon_2,X20_Ultrataxa_per_species_2,X21_Species_per_genus_2,X22_Genera_per_family_2,X23_Families_per_order_2,X24_Species_uniqueness_2,X25_Ultrataxon_uniqueness_2,X26_Patch_clade_3,X27_Hackett_fine_clades_3,X28_Hackett_coarse_clades_3,X29_Population_description_4,X30_Core_taxa_4,X31_Non.breeding_populations_of_core_taxa_4,X32_Extinct_4,X33_Introduced_4,X34_Vagrant_4,X35_Supplementary_4,X36_Endemic_entirely_in_Australia_4,X37_Endemic_breeding_only_4,X38_Non.breeding_only_4,X39_Percent_in_Australia_breeding_4,X40_Percent_in_Australia_non.breeding_4,X41_Global_IUCN_status_2015_5,X42_Global_IUCN_criteria_2015_5,X43_Australian_status_1990_5,X44_Australian_status_criteria_1990_5,X45_Australian_status_2000_5,X46_Australian_status_criteria_2000_5,X47_Australian_status_2010_5,X48_Australian_status_criteria_2010_5,X49_Australian_status_July_2015_5,X50_Australian_status_criteria_July_2015_5,X51_EPBC_Status_July_2015_6,X52_EPBC_year_listed_6,X53_Bonn_Convention_6,X54_CAMBA_6,X55_JAMBA_6,X56_ROKAMBA_6,X57_Migratory_6,X58_EPBC_Marine_6,X59_ACT_status_2015_6,X60_NSW_status_2015_6,X61_NT_status_2015_6,X62_QLD_status_2015_6,X63_SA_status_2015_6,X64_TAS_status_2015_6,X65_VIC_status_2015_6,X66_WA_status_2015,X67_Australian_Capital_Territory_7,X68_New_South_Wales_7,X69_Northern_Territory_7,X70_Queensland_7,X71_South_Australia_7,X72_Tasmania_7,X73_Victoria_7,X74_Western_Australia_7,X75_Norfolk_Island_7,X76_Lord_Howe_Island_7,X77_Heard_Island_7,X78_Macquarie_Island_7,X79_Christmas_Island_7,X80_Cocos_Keeling_Island_7,X81_Ashmore_and_other_Indian_Ocean_islands_7,X82_Coral_Sea_7,X83_Australian_Fishing_Zone_7,X84_Also_in_Papua_New_Guinea_7,X85_Connectivity_with_Papua_New_Guinea_7,X86_Also_in_Indonesia_7,X87_Connectivity_with_Indonesia_7,X88_Also_in_Timor.Leste_7,X89_Connectivity_with_Timor.Leste_7,X90_Also_in_New_Zealand_7,X91_Connectivity_with_New_Zealand_7,X92_Also_in_New_Caledonia_7,X93_Connectivity_with_New_Caledonia_7,X94_Australian_continental_island_only_7,X95_Australian_oceanic_island_only_7,X96_Body_length_8,X97_Body_length_min_8,X98_Body_length_max_8,X99_Body_mass_average_8,X100_Body_mass_min_8,X101_Body_mass_max_8,X102_Male_body_mass_average_8,X103_Male_body_mass_min_8,X104_Male_body_mass_max_8,X105_Female_body_mass_average_8,X106_Female_body_mass_min_8,X107_Female_body_mass_max_8,X108_Unsexed_body_mass_average_8,X109_Unsexed_body_mass_min_8,X110_Unsexed_body_mass_max_8,X111_Source_of_body_mass_data_8,X112_Brain_volume_8,X113_Brain_mass_8,X114_Brain_mass_residual_8,X115_Feeding_habitat_Terrestrial_Arid_shrubland_9,X116_Feeding_habitat_Terrestrial_Chenopod_shrubland_9,X117_Feeding_habitat_Terrestrial_Heath_9,X118_Feeding_habitat_Terrestrial_Triodia_hummock_grassland_9,X119_Feeding_habitat_Terrestrial_Other_grassland_9,X120_Feeding_habitat_Terrestrial_Mallee_9,X121_Feeding_habitat_Terrestrial_Tropical_savanna_woodland_9,X122_Feeding_habitat_Terrestrial_Temperate_dry_sclerophyll_forest_and_woodland_9,X123_Feeding_habitat_Terrestrial_Temperate_wet_sclerophyll_forest_and_woodland_9,X124_Feeding_habitat_Terrestrial_Rainforest_9,X125_Feeding_habitat_Terrestrial_Mangrove_trees_9,X126_Feeding_habitat_Inland_waters_Rivers_and_streams_9,X127_Feeding_habitat_Inland_waters_Deep_open_water_9,X128_Feeding_habitat_Inland_waters_Shallow_open_water_9,X129_Feeding_habitat_Inland_waters_Reeds_and_tall_wet_grassland_9,X130_Feeding_habitat_Inland_waters_Low_marshland_and_wet_grassland_9,X131_Feeding_habitat_Coastal_Sandy_9,X132_Feeding_habitat_Coastal_Rocky_9,X133_Feeding_habitat_Coastal_Soft_mud_9,X134_Feeding_habitat_Coastal_Saltmarsh_9,X135_Feeding_habitat_Coastal_Mangrove_floor_9,X136_Feeding_habitat_Marine_Very_cold_pelagic_9,X137_Feeding_habitat_Marine_Cold_pelagic_9,X138_Feeding_habitat_Marine_Temperate_pelagic_9,X139_Feeding_habitat_Marine_Warm_pelagic_9,X140_Feeding_habitat_Marine_Cold_inshore_9,X141_Feeding_habitat_Marine_Temperate_inshore_9,X142_Feeding_habitat_Marine_Warm_inshore_9,X143_Feeding_habitat_Other_non.Australian_habitat_9,X144_Feeding_habitat_Agricultural_landscapes_9,X145_Feeding_habitat_Urban_landscapes_9,X146_Breeding_habitat_Arid_shrubland_9,X147_Breeding_habitat_Chenopod_shrubland_9,X148_Breeding_habitat_Heath_9,X149_Breeding_habitat_Triodia_hummock_grassland_9,X150_Breeding_habitat_Other_grassland_9,X151_Breeding_habitat_Mallee_9,X152_Breeding_habitat_Tropical_savanna_woodland_9,X153_Breeding_habitat_Temperate_dry_sclerophyll_forest_and_woodland_9,X154_Breeding_habitat_Temperate_wet_sclerophyll_forest_and_woodland_9,X155_Breeding_habitat_Rainforest_9,X156_Breeding_habitat_Mangrove_9,X157_Breeding_habitat_inland_wetland_9,X158_Breeding_habitat_Beaches_and_sand_cays_9,X159_Breeding_habitat_Rocky_coasts_and_islets_9,X160_Breeding_habitat_Other_non.Australian_habitats_9,X161_Breeding_habitat_Agricultural_lands_9,X162_Breeding_habitat_Urban_9,X163_Food_Fruit_10,X164_Food_Nectar_or_pollen_10,X165_Food_Seeds_10,X166_Food_Foliage_or_herbs_10,X167_Food_Corms_or_tubers,X168_Food_Terrestrial_invertebrates_10,X169_Food_Terrestrial_vertebrates_10,X170_Food_Carrion_10,X171_Food_Intertidal_invertebrates_10,X172_Food_Fish_or_invertebrates_Marine_10,X173_Food_fish_or_invertebrates_Inland_waters_10,X174_Feeding_aggregation_Solitary_11,X175_Feeding_aggregation_Pairs_11,X176_Feeding_aggregation_Flocks_11,X177_Mean_Flight_Initiation_Distance_11,X178_Clutch_size_average_12,X179_Clutch_size_min_12,X180_Clutch_size_max_12,X181_Egg_length_12,X182_Egg_diameter_12,X183_Nest_location_Ground_level_12,X184_Nest_location_Supported_12,X185_Nest_location_Hanging_12,X186_Nest_location_Burrow_12,X187_Nest_location_Hollow_12,X188_Nest_location_Floating_12,X189_Nest_aggregation_Solitary_12,X190_Nest_aggregation_Colonial_12,X191_Nest_aggregation_Parasitic_12,X192_Breeding_system_Cooperative_12,X193_National_movement_local_dispersal_13,X194_National_movement_Partial_migrant_13,X195_National_movement_Total_migrant_13,X196_National_movement_Nomadic_or_opportunistic_13,X197_National_movement_Irruptive_13,X198_Nature_of_international_movements_13,X199_Mixing_beyond_Australia_13,X200_Level_of_international_genetic_exchange_13,X201_Level_of_international_genetic_exchange_reliability_13,X202_Maximum_time_elapsed_to_recapture_13,X203_Maximum_distance_of_recapture_13,X204_Number_of_banded_birds_recovered_13,X205_Climate_specialisation_14,X206_Specialisation_index_14,X207_Sensitivity_index_14,X208_Area_of_suitable_climate_inside_range_14,X209_Area_of_suitable_climate_outside_range_14,X210_Percent_of_suitable_climate_currently_inside_range_14,X211_Percent_of_suitable_climate_remaining_inside_range_14,X212_Inside_Range_10th_percentile_14,X213_Inside_Range_90th_percentile_14,X214_Percent_of_suitable_climate_remaining_outside_range_14,X215_Outside_Range_10th_percentile_14,X216_Outside_Range_90th_percentile_14,X217_Climate_model_factor_Annual_mean_temperature_14,X218_Climate_model_factor_Temperature_seasonality_14,X219_Climate_model_factor_Max_temperature_of_warmest_month_14,X220_Climate_model_factor_Min_temperature_of_coldest_month_14,X221_Climate_model_factor_Annual_precipitation_14,X222_Climate_model_factor_Precipitation_seasonality_14,X223_Climate_model_factor_Precipitation_of_wettest_quarter_14,X224_Climate_model_factor_Precipitation_of_driest_quarter_14,X225_Mean_marine_productivity_around_breeding_colonies_14,X226_Maximum_marine_productivity_around_breeding_colonies_14,X227_Change_in_marine_productivity_around_breeding_colonies_14,X228_Change_in_maximum_marine_productivity_around_breeding_colonies_14,X229_BirdLife_Australia_Species_Number_15,X230_BirdLife_Australia_Taxon_ID_15
Anous albivitta,Gray Noddy,Laridae,Charadriiformes,4,2,2,0,4,30,17.3,3.1,5,25.2,201.8,121.9,79.8,60.4,106.5,72.2,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthus australis,Australian Pipit,Motacillidae,Passeriformes,18,8,7,3,8,15.5,9.2,3.4,3.9,25.6,83.8,19.7,67.2,22.6,65.1,24.1,Dunning,NA,NO,NA,NA,Grassland,3,1,Carnivore,Invertivore,Terrestrial,1817,1934,Anthus,novaeseelandiae,NA,NA,Pipits and Wagtails,Motacillidae,Passeriformes,22,35,2,3,0,1,0,0,5,43,7,136,2.9,NA,P9,"Wagtails, Pipits","Wagtails, Pipits",Endemic (entirely Australian),1,0,0,0,0,0,1,0,0,7,7,LC,NA,LC,NA,LC,NA,LC,NA,LC,NA,not listed,NA,not listed,not listed,not listed,not listed,not listed,1,not listed,not listed,not listed,LC,not listed,not listed,not listed,not listed,Core,Core,Core,Core,Core,Core,Core,Core,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,present,none,present,none,present,none,present,none,not listed,NA,0,0,16,13,18,25.7,20,39.6,26.2,20,39,26.5,20,39.6,NAV,NAV,NAV,HANZAB,0.84,0.87,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,12.4,2.8,2,4,22.9,16.7,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,none,0,nil,certain,2531,4,21,0.391,1.09,1.07,7755,185,98,100,100,100,2,2,2,18,3,8,3,7,55,3,3,NA,NA,NA,NA,647,647
Ardea plumifera,Plumed Egret,Ardeidae,Pelecaniformes,15,7,6,2,14,81.5,60.3,10.5,14,105.3,298.8,89.8,207.9,30.3,117.2,458.8,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ardea plumifera,Plumed Egret,Ardeidae,Pelecaniformes,15,7,6,2,14,81.5,60.3,10.5,14,105.3,298.8,89.8,207.9,30.3,117.2,458.8,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,643,379,Ardea,intermedia,NA,NA,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes,15,3,8,6,0,1,0,0,2,12,18,10,7.7,NA,Ardeidae,Herons,"Ibises, Herons",Australian,1,0,0,0,0,0,0,0,0,3,3,LC,NA,LC,NA,LC,NA,LC,NA,LC,NA,not listed,NA,not listed,not listed,not listed,not listed,not listed,1,not listed,not listed,not listed,LC,Rare,not listed,Th,not listed,not listed,Core,Core,Core,Core,not listed,Core,Core,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,present,certain,present,probable,present,possible,vagrant,NA,not listed,NA,0,0,63,56,70,450,400,500,401,NAV,NAV,NAV,NAV,NAV,450,400,500,"HANZAB, del Hoyo et al. (1992-2013)",4.15,4.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,NAV,2.4,2,6,48,38,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,annual outward migration Non-marine,1,low,low,2898,2671,25,0.488,0.86,0.92,3449,1678,67,107,94,108,109,26,122,24,3,2,3,43,8,11,7,NA,NA,NA,NA,186,186
Anarhynchus leschenaultii,Greater Sand-Plover,Charadriidae,Charadriiformes,5,3,2,0,4,26.5,16.4,4.2,5.4,36.5,136.4,72,63.5,53.1,49.8,74.8,Dunning,NA,NO,NA,NA,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,300,537,Charadrius,leschenaultii,NA,NA,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,11,5,2,8,0,1,0,0,3,30,11,17,5.6,NA,Charadrii,"Waders, Allies","Waders, Allies",Non-breeding migrant,1,0,0,0,0,0,0,0,1,0,5,LC,NA,LC,NA,LC,NA,LC,NA,LC,NA,not listed,NA,A2H,1,1,1,1,1,not listed,VU,VU,LC,Rare,not listed,not listed,VU,not listed,Core,Core,Core,Core,not listed,Core,Core,not listed,not listed,not listed,not listed,not listed,Core,Core,not listed,0,present,certain,present,probable,present,probable,present,certain,present,probable,0,0,24,22,25,77.7,55,121,NAV,NAV,NAV,NAV,NAV,NAV,77.7,55,121,HANZAB,1.26,1.31,-0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NAV,3,2,4,NAV,NAV,1,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,annual inward migration Non-marine,1,total,certain,7874,5497,2114,NA,1.04,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,141
Anarhynchus mongolus,Siberian Sand-Plover,Charadriidae,Charadriiformes,5,2,3,0,4,18,11.4,4,4.2,29.8,128.8,75.8,53.8,58.5,52.8,64,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,297,534,Charadrius,mongolus,NA,NA,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes,11,5,2,7,0,1,0,0,5,30,11,17,5.6,NA,Charadrii,"Waders, Allies","Waders, Allies",Non-breeding migrant,1,0,0,0,0,0,0,0,1,0,6,LC,NA,LC,NA,LC,NA,LC,NA,LC,NA,not listed,NA,A2H,1,1,1,1,1,not listed,VU,VU,LC,Rare,not listed,not listed,EN,not listed,Core,Core,Core,Core,Core,Core,Core,not listed,not listed,not listed,not listed,not listed,not listed,Core,not listed,0,present,certain,present,probable,present,probable,present,certain,present,probable,0,0,20,18,21,74.4,39,110,NAV,NAV,NAV,NAV,NAV,NAV,74.4,39,110,"HANZAB, del Hoyo et al. (1992-2013)",1.13,1.17,-0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16.7,3,2,3,NAV,NAV,1,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,annual inward migration Non-marine,1,total,certain,5708,10135,169,NA,1,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,139
Colluricincla rufogaster,Rufous Shrikethrush,Pachycephalidae,Passeriformes,10,4,6,0,0,24,13.2,4.9,6.6,24.7,90.7,15,78.7,16,73.3,32.3,DataFromSplit,NA,YES,Beak Length; Tarsus Length; Kipp's Distance; Secondary1; Hand-Wing Index,Colluricincla megarhyncha,Forest,1,1,Carnivore,Invertivore,Insessorial,1513,1527,Colluricincla,megarhyncha,NA,NA,"Whistlers, Shrike-thrushes and allies",Pachycephalidae,Passeriformes,22,16,2,1,0,1,0,0,21,5,5,136,6.7,NA,CC5CC6b,"Whistlers, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies",Australian,1,0,0,0,0,0,0,0,0,6,6,LC,NA,LC,NA,LC,NA,LC,NA,LC,NA,not listed,NA,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,LC,not listed,not listed,not listed,not listed,not listed,Core,Core,Core,not listed,not listed,not listed,Core,not listed,not listed,not listed,not listed,not listed,not listed,not listed,not listed,0,present,none,present,none,not listed,NA,not listed,NA,not listed,NA,0,0,20,18,21,38.1,28.5,62,39.6,28.5,62,38.8,28.5,57,37,33,41,HANZAB,1.34,1.39,0.12,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,NAV,2.4,2,3,25.3,18.8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,none,0,medium,low,7037,87,756,0.984,1.05,1.04,547,135,80,64,27,108,22,11,52,10,1,0,0,49,9,22,9,NA,NA,NA,NA,413,413
Esacus magnirostris,Beach Thick-knee,Burhinidae,Charadriiformes,5,2,3,0,4,76.4,46.2,13.1,19.5,89.2,271,114,156.3,42.2,116,1015.9,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Invertivore,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haematopus finschi,South Island Oystercatcher,Haematopodidae,Charadriiformes,4,2,2,0,4,90.3,72,7.2,9.4,46.8,252.2,127.8,124.5,50.6,92.5,526,Dunning,NA,NO,NA,NA,Coastal,3,1,Carnivore,Aquatic predator,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gallirallus sylvestris,Lord Howe Rail,Rallidae,Gruiformes,5,2,3,0,4,53,30.8,4.8,10.3,49,138.6,22.2,113.8,16.2,62.2,494.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,236,483,Hypotaenidia,sylvestris,NA,NA,"Crakes, Rails and Swamphens",Rallidae,Gruiformes,10,1,4,1,0,1,0,1,1,12,38,6,7.1,13.8,Rallidae,"Rails, Finfoots","Rails, Finfoots",Endemic (entirely Australian),1,0,0,0,0,0,1,0,0,7,7,EN,D,EN,D,EN,D,EN,D,EN,D,VU,2000,not listed,not listed,not listed,not listed,not listed,not listed,not listed,EN,not listed,LC,not listed,not listed,not listed,not listed,not listed,Core,not listed,not listed,not listed,not listed,not listed,not listed,not listed,Core,not listed,not listed,not listed,not listed,not listed,not listed,0,not listed,NA,not listed,NA,not listed,NA,not listed,NA,not listed,NA,0,1,37,32,42,496,330,780,536,410,780,456,330,615,NAV,NAV,NAV,HANZAB,2.9,3,-0.21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,NAV,2.5,1,4,47.1,33.4,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,none,0,nil,certain,5505,7,2663,NA,1.26,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,966,u966
