"site","FRic","FEve","FDis","FDiv","Q","sp_richness","IBRA","formation","class","shot_number","beam","delta_time","lat","lon","ground_elev","height_lastbin","height_bin0","rh100","cover","pai_total","fhd","sensitivity","pai_z0_5m","pai_z5_10m","pai_z10_15m","pai_z15_20m","pai_z20_25m","pai_z25_30m","pai_z30_35m","pai_z35_40m","pai_z40_45m","pai_z45_50m","pai_z50_55m","pai_z55_60m","pai_z60_65m","pai_z65_70m","pai_z70_75m","pai_z75_80m","pai_z80_85m","pai_z85_90m","pai_z90_95m","pai_z95_100m","pai_z100_105m","pai_z105_110m","pai_z110_115m","pai_z115_120m","pai_z120_125m","pai_z125_130m","pai_z130_135m","pai_z135_140m","pai_z140_145m","pai_z145_150m","pavd_z0_5m","pavd_z5_10m","pavd_z10_15m","pavd_z15_20m","pavd_z20_25m","pavd_z25_30m","pavd_z30_35m","pavd_z35_40m","pavd_z40_45m","pavd_z45_50m","pavd_z50_55m","pavd_z55_60m","pavd_z60_65m","pavd_z65_70m","pavd_z70_75m","pavd_z75_80m","pavd_z80_85m","pavd_z85_90m","pavd_z90_95m","pavd_z95_100m","pavd_z100_105m","pavd_z105_110m","pavd_z110_115m","pavd_z115_120m","pavd_z120_125m","pavd_z125_130m","pavd_z130_135m","pavd_z135_140m","pavd_z140_145m","pavd_z145_150m","match_distance_m","mean_pai","mean_fhd","mean_evenness","mean_height","sd_height","prop_understory","prop_midstory","prop_canopy","n_shots","n_sites","formation_lab","sp_richness_bench","total_cover","shannon_H","pielou_evenness","gini_simpson"
"CPJGI0057487",0.000207866,0.972895852,1.347734436,0.74085978,1.779167028,7,"NSW North Coast","Freshwater wetlands","Coastal Heath Swamps",223751100400537888,11,154543582.283658,-30.1142308088409,153.205600553398,37.705924987793,-8.51084518432617,13.5239057540894,13.39,0.358791947364807,0.888969898223877,2.40135645866394,0.966134488582611,0.888969898223877,0.670531213283539,0.128021538257599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436877384781837,0.0760948359966278,0.0670531243085861,0.0128021538257599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0707782098286,1.68752264976502,0.900015847356634,0.8192297288498,5.24536845454418,3.15958449362065,0.526789906107432,0.473210093892568,0,1,242,"Freshwater wetlands (n = 242)",8,17,1.95618746766045,0.940727319547624,0.844290657439446
"CPJGI0057489",0.038256714,0.828495976,1.173364594,0.715412034,1.653249965,32,"NSW North Coast","Heathlands","Coastal Headland Heaths",200160000100060352,0,141398670.325827,-30.0776611349496,153.20320411519,48.2850036621094,-5.4886589050293,6.95273017883301,6.94,0.334968745708466,0.816619217395782,1.83782303333282,0.956143617630005,0.811158716678619,0.114192858338356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139393165707588,0.0811158716678619,0.0114192860201001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.23341253011,0.925351575016975,0.373654438368944,0.539069405241027,3.11702417449423,1.64450662527119,0.876595165101155,0.123404834898845,0,1,179,"Heathlands (n = 179)",37,54,3.64555673474348,0.975355530866262,0.970507544581619
"CPJGI0057534",0.003537548,0.855759145,1.024512859,0.741535125,1.417698375,17,"NSW North Coast","Forested wetlands","Coastal Swamp Forests",137630500100059408,5,106549090.05052,-30.0686036580368,153.2064994766,54.2572593688965,-7.8741660118103,4.71635818481445,4.59,0.0449365526437759,0.091955229640007,1.49564158916473,0.966659128665924,0.091955229640007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183910466730595,0.00919552333652973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96184067297686,0.091955229640007,0,NA,2.5,0,1,0,0,1,329,"Forested wetlands (n = 329)",20,44,3.14414397865037,0.953974394510046,0.949380165289256
"CPJGI0057562",0.078466659,0.765066358,1.493862214,0.723903561,2.068951279,35,"NSW North Coast","Forested wetlands","Eastern Riverine Forests",317130500400473856,5,206562712.560502,-30.9212330843536,151.996637415139,258.580627441406,-7.38611888885498,25.2912635803223,25.23,0.221105292439461,0.499988466501236,3.12907290458679,0.958002030849457,0.497202903032303,0.341858386993408,0.29099828004837,0.208692848682404,0.0960161462426186,0.00283740041777492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310689061880112,0.0206204615533352,0.0133165521547198,0.0194982141256332,0.0205855444073677,0.00960161443799734,0.000283740024315193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7596775172477,1.43760596541688,1.50530117738444,0.840124583258362,9.27579645279147,6.39429920002154,0.34585478565966,0.440215665673216,0.213929548667124,1,329,"Forested wetlands (n = 329)",39,95,3.7928467977567,0.974568841114793,0.975069252077562
"CPJGI0057618",0.042170794,0.847161442,1.16830502,0.719831591,1.647345975,37,"New England Tableland","Grasslands","Temperate Montane Grasslands",232050500100056480,5,159163312.161903,-30.9633504001333,151.58615015853,1138.31652832031,-7.59819269180298,17.8780059814453,17.7,0.146256506443024,0.316262036561966,2.88935160636902,0.958867967128754,0.316262036561966,0.210647001862526,0.145235627889633,0.0411105081439018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021123006939888,0.0171026401221752,0.0169536489993334,0.0145235629752278,0.00411105062812567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0126038625092,0.713255174458027,1.20934896758943,0.872360879122733,6.87746408603338,4.64241228603082,0.443406578581474,0.498955552649975,0.0576378687685511,1,245,"Grasslands (n = 245)",43,104,3.86924065796941,0.969981482202718,0.976886094674556
"CPJGI0057678",0.007384112,0.904722103,1.136977427,0.803442967,1.520630802,13,"NSW North Coast","Heathlands","Wallum Sand Heaths",54971100100058864,11,60479647.7942898,-29.9893542836883,153.227073376833,41.8663864135742,-6.36968755722046,8.4700403213501,8.27,0.449015349149704,1.19271051883698,1.71740388870239,0.984789550304413,1.19271051883698,0.112507596611977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216040581464767,0.11927105486393,0.0112507594749331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4932342470201,1.30521811544896,0.293652723169222,0.423651327459776,2.93099155336684,1.40328330987033,0.913801689326632,0.0861983106733679,0,1,179,"Heathlands (n = 179)",17,32,2.94014270268684,0.965715563878506,0.94140625
"CPJGI0057682",0.005214399,0.783707291,1.292700313,0.705737323,1.82556531,15,"NSW North Coast","Freshwater wetlands","Coastal Heath Swamps",54971100100058832,11,60479647.5545828,-30.0001979730332,153.215314419413,39.5624961853027,-7.93825769424438,5.10271501541138,4.9,0.0504583343863487,0.103555560112,1.50327301025391,0.954149663448334,0.103555560112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020711112767458,0.010355556383729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7110918151823,0.103555560112,0,NA,2.5,0,1,0,0,1,242,"Freshwater wetlands (n = 242)",12,26,2.72490639912922,0.961772400530932,0.92603550295858
"CPJGI0057667",0.132430536,0.805465906,1.350431879,0.676908733,1.942090075,52,"NSW North Coast","Wet sclerophyll forests (Shrubby subformation)","North Coast Wet Sclerophyll Forests",142450600400684608,6,109239930.1764,-31.6197228287404,152.820221996833,42.4465408325195,-6.44622039794922,16.9344291687012,16.73,0.896417438983917,4.53509855270386,2.37540411949158,0.989850342273712,4.53509855270386,2.49883961677551,0.367715388536453,0.020636273548007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40725177526474,0.416738331317902,0.247820347547531,0.0367715395987034,0.0020636273548007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0131032038001,7.42228983156383,0.832758230236818,0.600708084511064,4.72045978349915,3.01098089769399,0.611010706348063,0.386208982721441,0.0027803109304961,1,365,"Wet sclerophyll forests (Shrubby subformation) (n = 365)",56,86,3.97652538047922,0.975227189249366,0.979177934018388
"CPJGI0057809",0.002736803,0.876035697,0.944574043,0.745526744,1.306371509,17,"NSW North Coast","Heathlands","Coastal Headland Heaths",90050800100090912,8,80029149.4464822,-31.051158338691,153.058957753616,64.4629058837891,-18.4531478881836,11.6759920120239,11.68,0.0476563461124897,0.0976729393005371,2.50162601470947,0.989018440246582,0.0943304449319839,0.0488393567502499,0.0110097397118807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909821782261133,0.00833207089453936,0.00488393567502499,0.00110097404103726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15104932642377,0.154179541394114,0.853220061498077,0.776634368920512,4.79793251209905,3.1272347130784,0.611822061987173,0.388177938012827,0,1,179,"Heathlands (n = 179)",28,47,3.29696047856778,0.969352880354319,0.958804889090086
"CPJGI0057826",0.053598358,0.76307997,1.385095034,0.741809728,1.905896418,27,"South Eastern Queensland","Forested wetlands","Coastal Swamp Forests",22240600400667648,6,42260467.4977944,-29.0836699288999,153.171786857199,41.6806831359863,-9.76523399353027,21.5630741119385,21.35,0.47448343038559,1.28692221641541,2.94806551933289,0.98929637670517,1.28692221641541,0.952741086483002,0.558956801891327,0.15142397582531,0.0149135403335094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668362304568291,0.0727965384721756,0.0801317095756531,0.0544043257832527,0.0151423970237374,0.00149135407991707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73030591202864,2.96495762094856,1.22014852582856,0.758120904448697,6.85854590435724,4.62509668107329,0.434044050856853,0.509854804565706,0.0561011445774406,1,329,"Forested wetlands (n = 329)",34,63,3.52948561356709,0.970282340702707,0.967498110355253
