"CensusKey","FRic","FEve","FDis","FDiv","Q","sp_richness","ibraCode","IBRA","zonekey","formation","class","CCS","SCS","FCS","vi","LMA_cwm","seedmass_cwm","height_cwm","LA_cwm","leafN_cwm","wooddensity_cwm","classIBRA"
"CPJGI0057487",0.000207866,0.972895852,1.347734436,0.74085978,1.779167028,7,"NNC","NSW North Coast",696920,"Freshwater wetlands","Coastal Heath Swamps",28.40207364,0.01,NA,0.532935959,1.98204147478101,-0.767159910729366,0.0124795940532272,3.28094084570648,1.13747645342246,-0.212084594959858,"Coastal Heath SwampsNSW North Coast"
"CPJGI0057478",0.001843169,0.852009429,0.956308254,0.708855004,1.331895684,16,"NNC","NSW North Coast",696911,"Grasslands","Maritime Grasslands",72.18655982,0.01,NA,0.84962674,1.77540084396631,-0.119921504972716,-0.349534187336893,2.55717334526135,1.27853403957869,-0.172583075561056,"Maritime GrasslandsNSW North Coast"
"CPJGI0057486",0.131200636,0.776603695,1.263833891,0.685886475,1.821248246,42,"NNC","NSW North Coast",696919,"Heathlands","Coastal Headland Heaths",96.06689453,0.01,NA,0.980137207,1.94850589892758,1.0755363950942,0.627274254678022,3.45734040093686,1.24607254633688,-0.23150672636285,"Coastal Headland HeathsNSW North Coast"
"CPJGI0057490",0.013860856,0.817073949,1.365627138,0.757319734,1.861720113,25,"NNC","NSW North Coast",696923,"Freshwater wetlands","Coastal Heath Swamps",83.21126879,0.01,NA,0.912202109,2.25868974157302,0.359634594574502,0.090632919195809,2.28593409856054,1.02303120926846,-0.233713368008534,"Coastal Heath SwampsNSW North Coast"
"CPJGI0057488",0.000409617,0.814526897,1.076073717,0.76976577,1.428069329,10,"NNC","NSW North Coast",696921,"Grasslands","Maritime Grasslands",69.03140427,0.01,NA,0.830851396,1.91060804697159,0.283614358892394,-0.257417756144152,2.16231638283907,1.15671175423278,-0.189276308730219,"Maritime GrasslandsNSW North Coast"
"CPJGI0057512",0.099645895,0.818274369,1.517026728,0.733487124,2.100282197,45,"NNC","NSW North Coast",696945,"Wet sclerophyll forests (Grassy subformation)","Northern Hinterland Wet Sclerophyll Forests",80.65475285,0.01,NA,0.898079912,1.95043406664095,0.0481924433530765,0.423053480917977,3.04234650461468,1.23073055864044,-0.207078069562606,"Northern Hinterland Wet Sclerophyll ForestsNSW North Coast"
"CPJGI0057481",0.003059583,0.889079058,1.084230585,0.772539586,1.473490138,16,"NNC","NSW North Coast",696914,"Grasslands","Maritime Grasslands",86.0627541,0.01,NA,0.927700135,1.8658095337629,-0.0875082722689087,-0.398792141294422,2.64795340340783,1.15672073979763,-0.191651672642102,"Maritime GrasslandsNSW North Coast"
"CPJGI0057489",0.038256714,0.828495976,1.173364594,0.715412034,1.653249965,32,"NNC","NSW North Coast",696922,"Heathlands","Coastal Headland Heaths",87.49628668,0.01,NA,0.935394498,1.98541484222645,1.2134004443576,0.523782183756219,3.23025608543879,1.25218633855488,-0.206909792174802,"Coastal Headland HeathsNSW North Coast"
"CPJGI0057493",NA,0.827821848,1.149641684,0.816077974,1.414515914,4,"SEQ","South Eastern Queensland",696926,"Freshwater wetlands","Coastal Freshwater Lagoons",59.57302593,0.01,NA,0.771835643,1.9849665935574,-0.564345114139409,0.219417093143166,3.14780917979732,1.15101487275697,-0.201528660673248,"Coastal Freshwater LagoonsSouth Eastern Queensland"
"CPJGI0057530",0.007175519,0.86644018,1.174565045,0.785602342,1.593627318,17,"NNC","NSW North Coast",696963,"Saline wetlands","Saltmarshes",81.81818182,0.01,NA,0.904534034,1.86075548868147,0.573595309454845,0.385463836687056,3.01434075460097,1.22373865203047,-0.285527372037945,"SaltmarshesNSW North Coast"
