"species","deviance_explained","max_edf","scientific_name","Order","population_desc","in_traits"
"Torresian Kingfisher",0.898,2.09,"Todiramphus sordidus","Coraciiformes","Unknown",TRUE
"Albert's Lyrebird",0.824,1.23,"Menura alberti","Passeriformes","Endemic (entirely Australian)",TRUE
"Olive Whistler",0.748,0.94,"Pachycephala olivacea","Passeriformes","Endemic (entirely Australian)",TRUE
"Indian Peafowl",0.6856,1.68,"Pavo cristatus","Galliformes","Introduced",TRUE
"Rufous Scrub-bird",0.8366,1.22,"Atrichornis rufescens","Passeriformes","Endemic (entirely Australian)",TRUE
"Red-tailed Black-Cockatoo",0.9752,1.04,"Calyptorhynchus banksii","Psittaciformes","Endemic (entirely Australian)",TRUE
"Sooty Owl",0.6391,3.04,"Tyto tenebricosa","Strigiformes","Endemic (entirely Australian)",TRUE
"Pacific Swift",0.4828,2.42,"Apus pacificus","Caprimulgiformes","Non-breeding migrant",TRUE
"Satin Flycatcher",0.4216,2.14,"Myiagra cyanoleuca","Passeriformes","Endemic (breeding only)",TRUE
"Brush Bronzewing",0.5144,1.6,"Phaps elegans","Columbiformes","Endemic (entirely Australian)",TRUE
"White-throated Honeyeater",0.8102,2.19,"Melithreptus albogularis","Passeriformes","Australian",TRUE
"Swift Parrot",0.6935,2.47,"Lathamus discolor","Psittaciformes","Endemic (entirely Australian)",TRUE
"Pale-headed Rosella",0.6593,1.07,"Platycercus adscitus","Psittaciformes","Endemic (entirely Australian)",TRUE
"White-throated Nightjar",0.6952,3.14,"Eurostopodus mystacalis","Caprimulgiformes","Australian",TRUE
"Black-chinned Honeyeater",0.6774,2.18,"Melithreptus gularis","Passeriformes","Endemic (entirely Australian)",TRUE
"Crescent Honeyeater",0.7088,2.42,"Phylidonyris pyrrhopterus","Passeriformes","Endemic (entirely Australian)",TRUE
"Spotted Quail-thrush",0.4951,2.23,"Cinclosoma punctatum","Passeriformes","Endemic (entirely Australian)",TRUE
"Paradise Riflebird",0.7605,1.54,"Ptiloris paradiseus","Passeriformes","Endemic (entirely Australian)",TRUE
"Gray Currawong",0.5699,2.35,"Strepera versicolor","Passeriformes","Endemic (entirely Australian)",TRUE
"Plum-headed Finch",0.8444,2.05,"Emblema modestum","Passeriformes","Endemic (entirely Australian)",TRUE
"Diamond Dove",0.8343,1.6,"Geopelia cuneata","Columbiformes","Endemic (entirely Australian)",TRUE
"White-fronted Honeyeater",0.9199,1.81,"Purnella albifrons","Passeriformes","Endemic (entirely Australian)",TRUE
"Chestnut-rumped Heathwren",0.4945,1.74,"Hylacola pyrrhopygia","Passeriformes","Endemic (entirely Australian)",TRUE
"Russet-tailed Thrush",0.7242,1.89,"Zoothera heinei","Passeriformes","Australian",TRUE
"Forest Kingfisher",0.6168,1.66,"Todiramphus macleayii","Coraciiformes","Australian",TRUE
"Little Crow",0.9191,2.34,"Corvus bennetti","Passeriformes","Endemic (entirely Australian)",TRUE
"Turquoise Parrot",0.7656,2.33,"Neophema pulchella","Psittaciformes","Endemic (entirely Australian)",TRUE
"Tawny-crowned Honeyeater",0.7797,1.62,"Gliciphila melanops","Passeriformes","Endemic (entirely Australian)",TRUE
"Pilotbird",0.6606,2.19,"Pycnoptilus floccosus","Passeriformes","Endemic (entirely Australian)",TRUE
"Spotted Bowerbird",0.713,1.8,"Chlamydera maculata","Passeriformes","Endemic (entirely Australian)",TRUE
"Beautiful Firetail",0.6988,2.08,"Stagonopleura bella","Passeriformes","Endemic (entirely Australian)",TRUE
"Eurasian Skylark",0.773,1.42,"Alauda arvensis","Passeriformes","Introduced",TRUE
"Eastern Bristlebird",0.8835,1.82,"Dasyornis brachypterus","Passeriformes","Endemic (entirely Australian)",TRUE
"Mulga Parrot",0.8598,1.95,"Psephotellus varius","Psittaciformes","Endemic (entirely Australian)",TRUE
"Splendid Fairywren",0.9163,1.95,"Malurus splendens","Passeriformes","Endemic (entirely Australian)",TRUE
"Pale-yellow Robin",0.7967,1.98,"Eopsaltria capito","Passeriformes","Endemic (entirely Australian)",TRUE
"Hooded Robin",0.6769,2.11,"Melanodryas cucullata","Passeriformes","Endemic (entirely Australian)",TRUE
"Stubble Quail",0.7478,1.59,"Coturnix pectoralis","Galliformes","Endemic (entirely Australian)",TRUE
