"species","term","edf","f_stat","p_value","category","is_vegetation","rank","timestamp"
"Australian Magpie","s(log1p(effort_distance_km))",2.12661706167585,111.068100783346,0,"other",FALSE,1,"2026-06-03 10:55:10"
"Australian Magpie","s(lc_trees)",8.54989351039159,97.9273934873972,0,"landscape",FALSE,2,"2026-06-03 10:55:10"
"Australian Magpie","s(LA_cwm)",2.85699310593258,49.8796933570008,0,"vegetation",TRUE,3,"2026-06-03 10:55:10"
"Australian Magpie","s(observer_expertise)",3.38307823294501,39.8725596725577,0,"effort",FALSE,4,"2026-06-03 10:55:10"
"Australian Magpie","s(log(duration_minutes))",1.563957262195,36.7546485298492,0,"other",FALSE,5,"2026-06-03 10:55:10"
"Australian Magpie","s(FEve)",1.97375565208947,34.9112225276391,0,"vegetation",TRUE,6,"2026-06-03 10:55:10"
"Australian Magpie","s(log1p(nightlights))",8.02868809591599,32.5857585361998,0,"other",FALSE,7,"2026-06-03 10:55:10"
"Australian Magpie","s(time_observations_started)",7.1019412302314,29.7072125539713,0,"effort",FALSE,8,"2026-06-03 10:55:10"
"Australian Magpie","s(gini_simpson)",2.92030216493557,28.6582216912293,0,"vegetation",TRUE,9,"2026-06-03 10:55:10"
"Australian Magpie","s(prop_canopy)",1.93218964838552,23.4842416414798,0,"vegetation",TRUE,10,"2026-06-03 10:55:10"
"Australian Magpie","s(log(precip_annual))",6.73814731396913,19.48126464757,0,"other",FALSE,11,"2026-06-03 10:55:10"
"Australian Magpie","s(pielou_evenness)",2.69639869950621,16.8546506463962,0,"vegetation",TRUE,12,"2026-06-03 10:55:10"
"Australian Magpie","s(height_cwm)",1.96077516895599,12.7109764237133,0,"vegetation",TRUE,13,"2026-06-03 10:55:10"
"Australian Magpie","s(water_occ)",7.20352042240884,10.9349904177135,0,"landscape",FALSE,14,"2026-06-03 10:55:10"
"Australian Magpie","s(sp_richness)",1.84960492953294,9.17798370839899,0,"vegetation",TRUE,15,"2026-06-03 10:55:10"
"Australian Magpie","s(cover)",1.62506998579106,8.00359622342146,1.14717513510776e-06,"vegetation",TRUE,16,"2026-06-03 10:55:10"
"Australian Magpie","s(day_of_year)",5.33794056204114,6.15768198149931,0,"effort",FALSE,17,"2026-06-03 10:55:10"
"Australian Magpie","s(temp_annual)",4.67341635646835,5.9230233437882,0,"landscape",FALSE,18,"2026-06-03 10:55:10"
"Australian Magpie","s(wooddensity_cwm)",1.73612725776951,5.02109681983384,0.000125857049706024,"vegetation",TRUE,19,"2026-06-03 10:55:10"
"Australian Magpie","s(FDiv)",0.932738329829826,4.61206760404565,8.6993077651254e-05,"vegetation",TRUE,20,"2026-06-03 10:55:10"
"Australian Magpie","s(FRic)",1.45487824202753,2.11793057309539,0.0112662441483962,"vegetation",TRUE,21,"2026-06-03 10:55:10"
"Australian Magpie","s(elevation)",2.19257051101874,1.06343869680438,0.00311265893624579,"landscape",FALSE,22,"2026-06-03 10:55:10"
"Australian Magpie","s(number_observers)",0.000776204529151678,0.000321762774445753,0.267611894882553,"effort",FALSE,23,"2026-06-03 10:55:10"
"Australian Magpie","s(mean_fhd)",0.000441478528768744,6.95127589019073e-05,0.469096532113759,"vegetation",TRUE,24,"2026-06-03 10:55:10"
"Australian Magpie","protocol_type",1,2.97481834866895e-11,0.999995648245976,"effort",FALSE,25,"2026-06-03 10:55:10"
"Rainbow Lorikeet","s(observer_expertise)",3.15010314448531,99.9907796141266,0,"effort",FALSE,1,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(time_observations_started)",7.68113993666937,71.437639834816,0,"effort",FALSE,2,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(height_cwm)",2.97875126583015,64.2180513685976,0,"vegetation",TRUE,3,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(log(duration_minutes))",2.23842530724777,64.1348971543481,0,"other",FALSE,4,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(log1p(nightlights))",8.36225181622769,51.5484392780234,0,"other",FALSE,5,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(day_of_year)",6.11480971227751,44.0745492108881,0,"effort",FALSE,6,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(log(precip_annual))",6.10365460797643,23.0809554530396,0,"other",FALSE,7,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(lc_trees)",8.02722942565777,22.9103321959437,0,"landscape",FALSE,8,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(gini_simpson)",1.9500894476197,22.597411967189,0,"vegetation",TRUE,9,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(FRic)",1.96216340199761,21.4523150032646,0,"vegetation",TRUE,10,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(FEve)",2.71059710093152,18.971968489977,0,"vegetation",TRUE,11,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(mean_fhd)",2.92388487481198,18.7300455362309,0,"vegetation",TRUE,12,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(cover)",2.87202519207108,16.1457143140502,0,"vegetation",TRUE,13,"2026-06-03 10:57:13"
"Rainbow Lorikeet","s(temp_annual)",6.21365454864431,15.0694760511377,0,"landscape",FALSE,14,"2026-06-03 10:57:13"
