"species","converged","n_checklists","n_positive","pct_positive","deviance_explained","n_smooths","max_edf","status","error_message","timestamp"
"Australian Magpie",TRUE,19225,7998,41.6,0.2999,24,8.55,"ok",NA,"2026-06-03 10:55:10"
"Rainbow Lorikeet",TRUE,19206,7989,41.6,0.3908,24,8.36,"ok",NA,"2026-06-03 10:57:13"
"Magpie-lark",TRUE,19372,4753,24.5,0.3875,24,8.47,"ok",NA,"2026-06-03 10:58:50"
"Noisy Miner",TRUE,19202,6940,36.1,NA,24,8.48,"ok",NA,"2026-06-03 11:00:36"
"Welcome Swallow",TRUE,19249,4811,25,0.2778,24,8.43,"ok",NA,"2026-06-03 11:03:02"
"Australian Raven",TRUE,19278,7287,37.8,0.3185,24,8.12,"ok",NA,"2026-06-03 11:04:54"
"Superb Fairywren",TRUE,19099,6952,36.4,NA,24,8.65,"ok",NA,"2026-06-03 11:06:51"
"Willie-wagtail",TRUE,19386,4226,21.8,0.4114,24,7.71,"ok",NA,"2026-06-03 11:08:34"
"Laughing Kookaburra",TRUE,19396,7608,39.2,NA,24,7.18,"ok",NA,"2026-06-03 11:10:48"
"Pied Currawong",TRUE,19345,7542,39,0.2507,24,8.17,"ok",NA,"2026-06-03 11:12:27"
"Sulphur-crested Cockatoo",TRUE,19325,6740,34.9,0.3824,24,8.18,"ok",NA,"2026-06-03 11:14:30"
"Gray Fantail",TRUE,19300,7196,37.3,0.3271,24,8.32,"ok",NA,"2026-06-03 11:16:30"
"Galah",TRUE,19492,3309,17,0.4126,24,8,"ok",NA,"2026-06-03 11:18:17"
"Gray Butcherbird",TRUE,19461,5114,26.3,0.2891,24,8.32,"ok",NA,"2026-06-03 11:20:01"
"Crested Pigeon",TRUE,19563,2480,12.7,0.3816,24,7.32,"ok",NA,"2026-06-03 11:21:41"
"Red Wattlebird",TRUE,19493,4318,22.2,0.3789,24,7.12,"ok",NA,"2026-06-03 11:23:15"
"Lewin's Honeyeater",TRUE,19434,5225,26.9,0.5559,24,8.82,"ok",NA,"2026-06-03 11:24:57"
"Eastern Yellow Robin",TRUE,19441,5849,30.1,0.3947,24,8.95,"ok",NA,"2026-06-03 11:27:02"
"Eastern Whipbird",TRUE,19422,5447,28,0.42,24,7.81,"ok",NA,"2026-06-03 11:29:40"
"Crimson Rosella",TRUE,19547,4077,20.9,0.4955,24,8.48,"ok",NA,"2026-06-03 11:32:02"
"Black-faced Cuckooshrike",TRUE,19491,3624,18.6,0.2552,24,6.89,"ok",NA,"2026-06-03 11:34:15"
"Yellow-faced Honeyeater",TRUE,19333,4998,25.9,NA,24,7.82,"ok",NA,"2026-06-03 11:36:38"
"Brown Thornbill",TRUE,19406,5045,26,0.333,24,8.2,"ok",NA,"2026-06-03 11:38:38"
"Little Wattlebird",TRUE,19462,4160,21.4,0.4756,24,8.47,"ok",NA,"2026-06-03 11:41:04"
"Silvereye",TRUE,19308,4367,22.6,0.2465,24,8.18,"ok",NA,"2026-06-03 11:43:29"
"Eastern Rosella",TRUE,19533,2630,13.5,0.4309,24,7.53,"ok",NA,"2026-06-03 11:45:29"
"Eastern Spinebill",TRUE,19473,4393,22.6,0.3863,24,7.64,"ok",NA,"2026-06-03 11:47:26"
"Gray Shrikethrush",TRUE,19486,3548,18.2,0.3986,24,7.89,"ok",NA,"2026-06-03 11:49:06"
"White-browed Scrubwren",TRUE,19392,5159,26.6,0.3513,24,7.65,"ok",NA,"2026-06-03 11:50:39"
"Golden Whistler",TRUE,19534,4269,21.9,NA,24,7.96,"ok",NA,"2026-06-03 11:52:17"
"White-throated Treecreeper",TRUE,19549,3818,19.5,0.4667,24,8.93,"ok",NA,"2026-06-03 11:53:54"
"Spotted Dove",TRUE,19588,2300,11.7,0.5061,24,8.43,"ok",NA,"2026-06-03 11:55:30"
"Spotted Pardalote",TRUE,19491,4474,23,NA,24,7.71,"ok",NA,"2026-06-03 11:57:10"
"Little Corella",TRUE,19621,1433,7.3,0.371,24,7.18,"ok",NA,"2026-06-03 11:58:51"
"Australian King-Parrot",TRUE,19622,2654,13.5,0.2941,24,7.51,"ok",NA,"2026-06-03 12:00:55"
"Satin Bowerbird",TRUE,19634,2080,10.6,0.4236,24,7.54,"ok",NA,"2026-06-03 12:03:03"
