"species","dev_full","dev_base","dev_no_fd","dev_no_cwm","dev_no_rich","dev_no_struct","unique_total_veg","unique_fd","unique_cwm","unique_richness","unique_structure","dev_no_land","unique_landscape"
"Torresian Kingfisher",0.845246818188709,0.862902373523793,0.859732860191229,0.845370178899268,0.853746259388573,0.845336222018662,-0.0176555553350839,-0.01448604200252,-0.000123360710559406,-0.00849944119986457,-8.94038299531497e-05,0.825764970206878,0.0114557535158755
"Indian Peafowl",0.492825586820034,0.450995641285251,0.485263569609379,0.487728605658443,0.488662905556948,0.450586868274501,0.0418299455347831,0.00756201721065525,0.00509698116159191,0.00416268126308622,0.0422387185455339,0.505864834185955,-0.0130392473659209
"Rufous Scrub-bird",0.75705598073439,0.769157657272774,0.764337102582416,0.75503143574891,0.761163574310518,0.75636994230609,-0.0121016765383831,-0.00728112184802587,0.00202454498548066,-0.00410759357612744,0.000686038428300173,0.672398415226189,0.0846575655082017
"Black-chinned Honeyeater",0.682205060585356,0.68922809480484,0.706954136217885,0.689098479785421,0.689506433273888,0.650698103637057,-0.00702303421948369,-0.0247490756325294,-0.0068934192000647,-0.00730137268853215,0.0315069569482989,0.566374096103984,0.115830964481372
"Spotted Quail-thrush",0.334429920194565,0.368379764208592,0.330201582850653,0.345280733285587,0.342568123057734,0.353140222794561,-0.0339498440140273,0.00422833734391143,-0.0108508130910229,-0.00813820286316924,-0.0187103025999967,0.00889775727835493,0.32553216291621
"Paradise Riflebird",0.646762025187168,0.656661044079473,0.672357998902217,0.650396071153073,0.64515305512929,0.651906690575108,-0.00989901889230527,-0.0255959737150487,-0.00363404596590466,0.00160897005787841,-0.0051446653879399,0.588382404636981,0.0583796205501875
"Gray Currawong",0.384426850134791,0.420187272819381,0.401045487436355,0.394675991590081,0.391401259643351,0.382610620015174,-0.0357604226845894,-0.0166186373015638,-0.0102491414552901,-0.00697440950855927,0.00181623011961735,-0.0648715014578337,0.449298351592625
"Plum-headed Finch",0.805005641376389,0.876051375448935,0.823926277417816,0.808823792316493,0.823824380248523,0.807397963333033,-0.0710457340725467,-0.0189206360414271,-0.00381815094010463,-0.0188187388721347,-0.00239232195664385,0.194376197884456,0.610629443491933
"White-fronted Honeyeater",0.892094373260413,0.886435047689789,0.906505697075122,0.894813425277075,0.890266837807658,0.892374120993117,0.00565932557062432,-0.0144113238147083,-0.00271905201666134,0.00182753545275494,-0.00027974773270345,0.858510161879131,0.0335842113812818
"Chestnut-rumped Heathwren",0.382007381882427,0.366453167325027,0.391458394918162,0.383709697673159,0.379761185189539,0.371646978476259,0.0155542145574,-0.00945101303573531,-0.0017023157907316,0.00224619669288817,0.0103604034061678,0.283141156681245,0.0988662252011825
"Russet-tailed Thrush",0.697615782538408,0.693087635985775,0.706402714723636,0.67314277090062,0.70236880853143,0.705123208503304,0.00452814655263289,-0.00878693218522786,0.0244730116377887,-0.00475302599302141,-0.00750742596489595,0.651541400425333,0.0460743821130752
"Forest Kingfisher",0.534820851887273,0.53268782608726,0.54573416222558,0.53636734445254,0.534822038696939,0.54434879351313,0.00213302580001329,-0.0109133103383069,-0.00154649256526673,-1.18680966554319e-06,-0.00952794162585635,0.398970174878134,0.135850677009139
"Turquoise Parrot",0.690061058826924,0.731056503587812,0.680668793340035,0.661225746737936,0.659464065798664,0.67865619384991,-0.0409954447608882,0.00939226548688876,0.0288353120889879,0.0305969930282607,0.0114048649770142,0.544584124235818,0.145476934591107
"Tawny-crowned Honeyeater",0.405699786999119,0.421544459623192,0.428501325673426,0.407197826528451,0.420772504520513,0.301003724460647,-0.0158446726240731,-0.0228015386743064,-0.00149803952933175,-0.0150727175213934,0.104696062538473,0.345879912303083,0.0598198746960362
"Pilotbird",0.528463111889108,0.549189480357231,0.528900596223774,0.519268705236905,0.539965418531299,0.521337985621735,-0.0207263684681226,-0.000437484334666061,0.00919440665220383,-0.0115023066421909,0.00712512626737327,0.346523559910327,0.181939551978781
"Beautiful Firetail",0.678880788392923,0.660778620248245,0.691925944667268,0.68448864007899,0.689814137871738,0.673846390007258,0.0181021681446778,-0.0130451562743445,-0.00560785168606737,-0.0109333494788153,0.00503439838566544,0.613035699289769,0.0658450891031536
"Eastern Bristlebird",0.898344315002816,0.90811055037834,0.90948420893579,0.898162665296717,0.8984020542297,0.897050537507584,-0.00976623537552335,-0.0111398939329733,0.000181649706099463,-5.77392268842347e-05,0.00129377749523207,0.876776145339688,0.0215681696631281
"Splendid Fairywren",0.844345707320968,0.794438782567445,0.86414368510552,0.845720911668088,0.851142832828272,0.844183338828936,0.0499069247535229,-0.0197979777845516,-0.00137520434712002,-0.00679712550730394,0.000162368492032328,0.833997790187391,0.0103479171335776
"Pale-yellow Robin",0.735319546939883,0.75229192160345,0.759096200780909,0.748660272625145,0.745056828433658,0.738396610967904,-0.0169723746635674,-0.0237766538410257,-0.0133407256852622,-0.00973728149377451,-0.0030770640280211,0.722008958489075,0.0133105884508081
"Hooded Robin",0.565555872879721,0.696758269235511,0.689822004593772,0.580708667612135,0.559250123129137,0.565510018042664,-0.13120239635579,-0.124266131714051,-0.0151527947324133,0.0063057497505844,4.58548370575462e-05,0.367245577444972,0.19831029543475
"Flame Robin",0.634790023752492,0.663451370850555,0.641145913186204,0.638497618813182,0.653662187112837,0.634191210647926,-0.0286613470980628,-0.00635588943371168,-0.00370759506068996,-0.0188721633603443,0.000598813104566331,0.282299748512191,0.352490275240301
"Pacific Baza",0.269006118857897,0.241436186363417,0.27344029410772,0.270930283432042,0.243486792919203,0.257315586705372,0.0275699324944799,-0.00443417524982281,-0.0019241645741449,0.0255193259386939,0.0116905321525247,0.156453339944415,0.112552778913482
"Red-winged Parrot",0.672848231024321,0.70767203111825,0.721407063152505,0.693557328017915,0.687255469957654,0.677558647768093,-0.0348238000939292,-0.048558832128184,-0.0207090969935939,-0.0144072389333323,-0.00471041674377137,0.43714098918447,0.235707241839852
"Rockwarbler",0.575986893466996,0.579229444600435,0.584427051730543,0.570796311839655,0.575419278362258,0.580186248813055,-0.00324255113343841,-0.00844015826354649,0.00519058162734176,0.00056761510473835,-0.00419935534605842,0.452217469034318,0.123769424432678
"Crested Bellbird",0.641575727906976,0.723789097059925,0.712110910562305,0.66369940122235,0.649721105455572,0.665992201034435,-0.0822133691529489,-0.0705351826553289,-0.0221236733153739,-0.00814537754859546,-0.0244164731274591,0.60539829411395,0.036177433793026
"Masked Woodswallow",0.367908241616199,0.569480572414692,0.547021135214792,0.353475344038557,0.399875774526939,0.374463175605708,-0.201572330798493,-0.179112893598593,0.0144328975776425,-0.0319675329107401,-0.00655493398950868,0.43244013740771,-0.0645318957915112
"Square-tailed Kite",0.0920467795764417,0.0954170553413415,0.0928387811827942,0.104913855198847,0.110567603491472,0.0847968000522064,-0.00337027576489984,-0.000792001606352483,-0.0128670756224053,-0.0185208239150299,0.00724997952423531,0.0635877708782156,0.0284590086982261
"White-fronted Chat",0.0856396616098333,0.558677014168964,0.58185651387058,0.11665163292968,0.139772959081126,0.107871040392487,-0.473037352559131,-0.496216852260746,-0.0310119713198464,-0.0541332974712927,-0.0222313787826539,0.332738759631369,-0.247099098021536
"Rose-crowned Fruit-Dove",0.613086565287931,0.671742120451249,0.609733129826133,0.582494706960819,0.607598896412246,0.611813935897326,-0.058655555163318,0.00335343546179845,0.0305918583271122,0.00548766887568508,0.00127262939060535,0.447162184828206,0.165924380459726
"Pallid Cuckoo",0.237588071287399,0.244477985774056,0.229970576633731,0.261379700213737,0.243532536272611,0.237307759804542,-0.00688991448665649,0.00761749465366851,-0.0237916289263376,-0.00594446498521206,0.000280311482857315,0.224364420080877,0.0132236512065221
"Little Eagle",0.127445017205329,0.121658830515989,0.144527104749349,0.130342157871876,0.134836949652849,0.128327860195451,0.0057861866893399,-0.01708208754402,-0.00289714066654687,-0.00739193244751976,-0.000882842990122368,0.124432192800353,0.00301282440497642
"Red-browed Treecreeper",0.55097383074544,0.564046372046085,0.566589949935327,0.547628157078266,0.555012113875001,0.535007071066724,-0.0130725413006449,-0.0156161191898868,0.0033456736671742,-0.00403828312956156,0.0159667596787163,0.27319863742921,0.27777519331623
"Chestnut-breasted Munia",-0.482438815423659,-0.249698361955349,-0.353571099927133,-0.489115392305453,-0.420828057692468,-0.494726525054377,-0.23274045346831,-0.128867715496526,0.00667657688179363,-0.0616107577311918,0.0122877096307175,-1.86271817548903,1.38027936006537
"Mangrove Gerygone",0.488532105301749,0.653267831224176,0.623381766423293,0.437377150558561,0.528087457193568,0.489258993720518,-0.164735725922427,-0.134849661121544,0.0511549547431878,-0.0395553518918185,-0.000726888418769223,0.42472715411153,0.0638049511902187
"Glossy Black-Cockatoo",0.121127620390639,0.122546715361195,0.0882577621689749,0.138756748179967,0.0885749024833667,0.131904079528689,-0.00141909497055555,0.0328698582216644,-0.0176291277893276,0.0325527179072727,-0.0107764591380498,0.0619623170518752,0.0591653033387641
"Inland Thornbill",0.707992332259509,0.729098093778591,0.728133549908982,0.708874588474217,0.715692898884082,0.70571314086002,-0.0211057615190821,-0.020141217649473,-0.000882256214707722,-0.00770056662457297,0.00227919139948896,0.517184076331255,0.190808255928254
"Pacific Emerald Dove",0.355916609471167,0.366302340974491,0.366500113009722,0.353034558315168,0.371436369139953,0.362800909522502,-0.0103857315033239,-0.0105835035385553,0.00288205115599849,-0.0155197596687862,-0.0068843000513355,0.276969396164948,0.0999066354890407
"Wompoo Fruit-Dove",0.725818702684544,0.742366043842395,0.740600669853079,0.71709318185578,0.722690378930644,0.72355923727146,-0.0165473411578517,-0.0147819671685355,0.00872552082876366,0.00312832375389993,0.00225946541308331,0.656340334562327,0.0694783681222163
