"species","dev_full","dev_no_FRic","unique_FRic","dev_no_FEve","unique_FEve","dev_no_FDiv","unique_FDiv","dev_no_wooddensity_cwm","unique_wooddensity_cwm","dev_no_LA_cwm","unique_LA_cwm","dev_no_height_cwm","unique_height_cwm","dev_no_sp_richness","unique_sp_richness","dev_no_pielou_evenness","unique_pielou_evenness","dev_no_gini_simpson","unique_gini_simpson","dev_no_cover","unique_cover","dev_no_mean_fhd","unique_mean_fhd","dev_no_prop_canopy","unique_prop_canopy"
"Torresian Kingfisher",0.852559407688143,0.860193881436291,-0.00763447374814763,0.852504332350665,5.50753374783941e-05,0.852647141443725,-8.77337555821311e-05,0.8527688317556,-0.000209424067457276,0.852732600835448,-0.000173193147305128,0.852669020657445,-0.000109612969301898,0.852876189702636,-0.000316782014493366,0.852618066064294,-5.86583761507109e-05,0.853650760937708,-0.00109135324956511,0.852703230300339,-0.000143822612196476,0.852504332742149,5.50749459937716e-05,0.852661809299113,-0.000102401610970304
"Indian Peafowl",0.492825586820034,0.485126813645384,0.0076987731746504,0.46796638957261,0.024859197247424,0.481088806422004,0.0117367803980302,0.500939674612461,-0.00811408779242695,0.498857740848425,-0.00603215402839069,0.485822235748531,0.00700335107150296,0.461238404311309,0.0315871825087256,0.465223603586913,0.0276019832331215,0.473906419227025,0.018919167593009,0.472338512396774,0.02048707442326,0.463959513951674,0.02886607286836,0.465237055562731,0.0275885312573039
"Rufous Scrub-bird",0.75705598073439,0.760636512442526,-0.00358053170813522,0.756410266296641,0.000645714437748968,0.752505572328642,0.00455040840574794,0.754642175999304,0.00241380473508679,0.753346091821938,0.00370988891245205,0.754533019037614,0.0025229616967759,0.756578634434114,0.00047734630027596,0.755810160189296,0.00124582054509437,0.757913558417794,-0.000857577683403998,0.756011760283518,0.00104422045087194,0.759755786151129,-0.00269980541673864,0.742506751432766,0.0145492293016243
"Black-chinned Honeyeater",0.682205060585356,0.696187976741975,-0.013982916156619,0.684862408546833,-0.00265734796147665,0.686009713213831,-0.00380465262847485,0.686384151818534,-0.00417909123317795,0.692897948852988,-0.0106928882676322,0.688168353342403,-0.00596329275704677,0.686874167235815,-0.00466910665045861,0.685541772296222,-0.00333671171086591,0.682104534304338,0.000100526281018309,0.664337703292794,0.0178673572925617,0.688105277314884,-0.00590021672952812,0.678695870178261,0.00350919040709463
"Spotted Quail-thrush",0.334429920194565,0.348215798300458,-0.0137858781058932,0.311989115337352,0.0224408048572126,0.332163903928453,0.00226601626611128,0.342764724774645,-0.00833480458008035,0.330104958759643,0.00432496143492123,0.33406677588774,0.000363144306824381,0.336680961493344,-0.00225104129877918,0.33630931226022,-0.00187939206565535,0.338566806590591,-0.00413688639602655,0.335794605643272,-0.00136468544870727,0.349310409517678,-0.014880489323113,0.341362508330268,-0.00693258813570385
"Paradise Riflebird",0.646762025187168,0.656787173208291,-0.0100251480211231,0.656040525195377,-0.00927850000820907,0.648454487717251,-0.00169246253008237,0.645977109247722,0.000784915939445963,0.64646561844983,0.000296406737338106,0.646173019303726,0.000589005883442018,0.644865830234524,0.00189619495264415,0.646269682790374,0.000492342396794521,0.64529354480455,0.0014684803826186,0.652424762343437,-0.00566273715626908,0.646405771206745,0.00035625398042316,0.646321719737449,0.000440305449719514
"Gray Currawong",0.384426850134791,0.394535686720102,-0.0101088365853104,0.391296622852588,-0.00686977271779671,0.384781137486697,-0.000354287351905402,0.384638113946296,-0.000211263811504991,0.394662316514216,-0.0102354663794251,0.384809644023784,-0.000382793888992594,0.382822910365608,0.00160393976918338,0.386524862091464,-0.00209801195667314,0.390230277552182,-0.00580342741739071,0.384787329177234,-0.000360479042442408,0.385207483685839,-0.000780633551047683,0.382371741508747,0.00205510862604419
"Plum-headed Finch",0.805005641376389,0.828335544213952,-0.023329902837563,0.808986582747188,-0.00398094137079907,0.806420227306988,-0.0014145859305994,0.809347879593756,-0.00434223821736746,0.807843037492579,-0.00283739611619005,0.820498321134683,-0.015492679758294,0.805019076221103,-1.34348447140553e-05,0.828798049312111,-0.0237924079357222,0.821084091422526,-0.0160784500461376,0.806959163644389,-0.00195352226799994,0.806132462447322,-0.00112682107093365,0.823163216398675,-0.0181575750222858
"White-fronted Honeyeater",0.892094373260413,0.902828822280415,-0.0107344490200022,0.891772137720736,0.000322235539677473,0.893500835720722,-0.00140646246030907,0.892217020099459,-0.000122646839045615,0.737923453896516,0.154170919363897,0.894647780655138,-0.00255340739472432,0.891857020712449,0.000237352547964642,0.892577003509511,-0.000482630249097893,0.891946838654141,0.000147534606271926,0.890946969647653,0.00114740361276,0.893490073968751,-0.00139570070833805,0.892039335227347,5.50380330666123e-05
"Chestnut-rumped Heathwren",0.382007381882427,0.390174211417562,-0.00816682953513526,0.381790484720906,0.00021689716152129,0.380437351745662,0.00157003013676543,0.376338247747679,0.00566913413474779,0.373517945660638,0.00848943622178949,0.386887197865424,-0.00487981598299725,0.38930669208062,-0.00729931019819319,0.379980917591221,0.00202646429120579,0.376113046539157,0.00589433534327044,0.379197420839954,0.00280996104247333,0.377806753324555,0.00420062855787245,0.380099433116597,0.00190794876583023
