"species","dev_no_land","unique_landscape"
"Torresian Kingfisher",0.825764970206878,0.0114557535158755
"Indian Peafowl",0.505864834185955,-0.0130392473659209
"Rufous Scrub-bird",0.672398415226189,0.0846575655082017
"Black-chinned Honeyeater",0.566374096103984,0.115830964481372
"Spotted Quail-thrush",0.00889775727835493,0.32553216291621
"Paradise Riflebird",0.588382404636981,0.0583796205501875
"Gray Currawong",-0.0648715014578337,0.449298351592625
"Plum-headed Finch",0.194376197884456,0.610629443491933
"White-fronted Honeyeater",0.858510161879131,0.0335842113812818
"Chestnut-rumped Heathwren",0.283141156681245,0.0988662252011825
"Russet-tailed Thrush",0.651541400425333,0.0460743821130752
"Forest Kingfisher",0.398970174878134,0.135850677009139
"Turquoise Parrot",0.544584124235818,0.145476934591107
"Tawny-crowned Honeyeater",0.345879912303083,0.0598198746960362
"Pilotbird",0.346523559910327,0.181939551978781
"Beautiful Firetail",0.613035699289769,0.0658450891031536
"Eastern Bristlebird",0.876776145339688,0.0215681696631281
"Splendid Fairywren",0.833997790187391,0.0103479171335776
"Pale-yellow Robin",0.722008958489075,0.0133105884508081
"Hooded Robin",0.367245577444972,0.19831029543475
"Flame Robin",0.282299748512191,0.352490275240301
"Pacific Baza",0.156453339944415,0.112552778913482
"Red-winged Parrot",0.43714098918447,0.235707241839852
"Rockwarbler",0.452217469034318,0.123769424432678
"Crested Bellbird",0.60539829411395,0.036177433793026
"Masked Woodswallow",0.43244013740771,-0.0645318957915112
"Square-tailed Kite",0.0635877708782156,0.0284590086982261
"White-fronted Chat",0.332738759631369,-0.247099098021536
"Rose-crowned Fruit-Dove",0.447162184828206,0.165924380459726
"Pallid Cuckoo",0.224364420080877,0.0132236512065221
"Little Eagle",0.124432192800353,0.00301282440497642
"Red-browed Treecreeper",0.27319863742921,0.27777519331623
"Chestnut-breasted Munia",-1.86271817548903,1.38027936006537
"Mangrove Gerygone",0.42472715411153,0.0638049511902187
"Glossy Black-Cockatoo",0.0619623170518752,0.0591653033387641
"Inland Thornbill",0.517184076331255,0.190808255928254
"Pacific Emerald Dove",0.276969396164948,0.0999066354890407
"Wompoo Fruit-Dove",0.656340334562327,0.0694783681222163
"Australian Spectacled Monarch",0.529605568785215,0.0697732726514638
"Superb Parrot",0.434284371765028,-0.0533278525160789
"Powerful Owl",0.333008023407222,0.0826417583333265
"Noisy Pitta",0.42769730242847,0.0498128902633159
"Diamond Firetail",0.523169928986646,0.142304747760593
"Southern Emuwren",0.629095316342871,0.0464690790060859
"White-browed Babbler",0.414967106013853,0.281055530436184
"Chestnut-rumped Thornbill",0.652607291198423,0.12848362778101
"White-browed Woodswallow",0.404930263265503,-0.0875451961882079
"Forest Raven",0.223368353979122,0.133974835351354
"White-bellied Cuckooshrike",0.230511759781966,0.110167251139881
"Emu",0.498536455598,0.123386403652506
"Australian Boobook",0.446143016124948,-0.00160288348951404
"Scarlet Robin",0.221316471190409,0.276616663710431
"Bassian Thrush",0.437513688757534,0.089325195440485
"Collared Sparrowhawk",0.0610183304044823,0.00425090127221688
"Cockatiel",0.319073540675278,0.173818323743462
"Western Gerygone",0.396397395777496,0.118887358562922
"Regent Bowerbird",0.51499628479605,0.0934254931644914
"Gang-gang Cockatoo",0.128275682381365,0.370805621951544
"Australian Logrunner",0.564483264124062,0.0761839983703277
"Varied Triller",0.446942260672042,0.1368663547408
"Purple-backed Fairywren",-0.258287320610421,0.430288502360915
"Speckled Warbler",0.413857269096563,0.196803816139577
"Peregrine Falcon",0.0504773378020635,0.116584876335773
"Gray Goshawk",0.100187546018949,0.0358780114038783
"Red-backed Fairywren",0.551481353626806,0.228205717154599
"Australian Owlet-nightjar",0.350662012800401,0.0515959756441786
"Yellow-tufted Honeyeater",0.460957432925169,0.195581989398957
"Horsfield's Bronze-Cuckoo",0.254319442808563,0.00310313658106731
"Sahul Brush Cuckoo",0.287577471615649,0.0639717937924665
"Pheasant Coucal",0.280395450621781,0.142004549172716
"Gray-crowned Babbler",0.262749261772979,0.371618743090626
"Red-capped Robin",0.456388171344003,0.091985818882854
"Fuscous Honeyeater",0.654148355641144,0.132583417346942
"Australian Hobby",0.0644675871617629,0.0155606841126436
"Varied Sittella",0.0195372738831421,0.161064500714671
"Brahminy Kite",0.359953399792215,0.125801690737355
"White-throated Needletail",0.241472983080077,0.109108882318739
"White-winged Triller",0.429811861849549,0.0111544408837519
"Australian Ringneck",0.281905690987608,0.339944993487134
"Brown Falcon",0.0912190666221427,0.0629196609376186
"Little Lorikeet",-0.0817340900615282,0.357281147239516
"Singing Honeyeater",0.391380715247881,0.199369317021051
"Sahul Cicadabird",0.35553620291843,0.0804857936556965
"Eastern Shrike-tit",0.247783301183023,0.0930186081435399
"Rose Robin",0.306078988511707,0.0713463051774632
"Black Kite",0.0646189799514979,0.383385630876014
"European Goldfinch",0.022227890568434,0.39488135725634
"Yellow-throated Miner",0.125263610225316,0.34454713791815
"Azure Kingfisher",0.202031036367176,0.0489945135818973
"Yellow-throated Scrubwren",0.660192244581988,0.0983059535874233
"Brown-headed Honeyeater",0.327336532374042,0.165460098907358
"Brown Quail",0.236101380688728,0.0753623933420448
"Rufous Songlark",0.484748687641523,0.0761056836991453
"Buff-rumped Thornbill",0.399294403848917,0.213322357892888
"Tawny Grassbird",0.391929892649764,0.0714659665223202
"Little Friarbird",0.345996499651987,0.206692403231928
"Topknot Pigeon",0.191944940342011,0.0430231842220154
"Apostlebird",0.151445045732368,0.418364143400871
"Brown Treecreeper",0.514669132859956,0.179077496351989
"Spangled Drongo",0.38086752438629,0.121933447231288
"Restless Flycatcher",0.290295654809542,0.12603388897414
"Large-billed Scrubwren",0.509080080333562,0.0748990031681764
"Long-billed Corella",0.165695914708219,-0.125773811181772
"Little Grassbird",0.404608116740353,0.0185047313849911
"Leaden Flycatcher",0.339728290623705,0.0843452059231635
"Striped Honeyeater",0.38497595623509,0.165262971132986
"Double-barred Finch",0.320284469446899,0.287373963856244
"Tawny Frogmouth",0.169667121396353,0.0370021560145177
"Green Catbird",0.476138113438097,0.0743285648898877
"Swamp Harrier",0.200359538331249,0.0388465043221186
"Brown Goshawk",0.108244018422066,0.020981398041612
"Shining Bronze-Cuckoo",0.195108839251246,0.0576949281078134
"Jacky-winter",0.315078721059568,0.201355247228236
"Dusky Woodswallow",0.256194794537045,0.22042632510863
"Wedge-tailed Eagle",0.174390180527167,0.0706665041897806
"Australian Pipit",0.0842513820551034,0.159736480643631
"Black-faced Monarch",0.583249908925782,0.0458872825251929
"Osprey",0.35306126244989,0.107968754651869
"Rainbow Bee-eater",0.270376700118042,0.290776878384825
"Common Bronzewing",0.321596622604378,0.153286697308072
"Weebill",0.50731050005014,0.0972673412120845
"Australian Rufous Fantail",0.464229630293465,0.0247594624078565
"White-throated Gerygone",0.39756369359947,0.113217133897076
"White-naped Honeyeater",0.22483093017527,0.164613460395565
"White-eared Honeyeater",0.305166778624524,0.260659555100248
"White-breasted Woodswallow",0.346125357924233,0.218526981616868
"Spiny-cheeked Honeyeater",0.5863158633607,0.192171178678119
"White-headed Pigeon",0.254419181726084,0.143362103198383
"Peaceful Dove",0.359731175475833,0.221953783077827
"Fairy Martin",0.361182100417436,-0.0595761040927116
"Superb Lyrebird",0.439471706391817,0.165142334175468
"Channel-billed Cuckoo",0.403238108541747,0.0394510345220727
"Scaly-breasted Lorikeet",0.232963231496281,0.201907051017998
"Tree Martin",0.00696058044477348,0.15517649720489
"Black-shouldered Kite",0.0196456431890607,0.0437572291100072
"White-winged Chough",0.396173715774101,0.201962324351366
"Golden-headed Cisticola",0.301946387859679,0.0334081189031703
"Little Raven",0.382123012487215,0.133758669152776
"White-cheeked Honeyeater",0.330660814661093,0.197162832072872
"Brown Honeyeater",0.400427631733094,0.250760278934317
"Wonga Pigeon",0.341944011801584,0.0801727212900322
"Musk Lorikeet",0.234128639925974,0.109360967661115
"Brown Cuckoo-Dove",0.417071126228441,0.0818581101567218
"Bell Miner",0.283791172944785,0.233506055084344
"Dollarbird",0.415278516885867,0.0401257838577779
"Australian Brushturkey",0.305757898071067,0.17135866019637
"Mistletoebird",0.245017980867977,0.0415840294515044
"Blue-faced Honeyeater",0.174527876060329,0.314774423211574
"Whistling Kite",0.273409775421014,0.173454434855117
"Nankeen Kestrel",0.191591470056584,0.0522264875473888
"Scarlet Myzomela",0.196139580636221,0.102413931294233
"Red-whiskered Bulbul",0.418247520658586,0.193373305852459
"White-bellied Sea-Eagle",0.193449867612127,0.135547341128192
"Yellow-rumped Thornbill",0.456122431146253,0.131289477592392
"Variegated Fairywren",0.232960409193264,0.0897176048004787
"Fan-tailed Cuckoo",0.201183581918003,0.0537562958037798
"Australian Reed Warbler",0.535643356460132,0.114499387733324
"Striated Thornbill",0.179309990621229,0.163247217840748
"House Sparrow",0.335461110418774,0.0843410337069895
"Eurasian Blackbird",0.286934551778986,0.175214051411972
"Bar-shouldered Dove",0.271662400495842,0.184210670156356
"Brown Gerygone",0.38346497363438,0.111843093408938
"Torresian Crow",0.431516964410308,0.246962012509545
"Striated Pardalote",0.310580216737167,0.153207335745478
"Pacific Koel",0.380573633091904,0.0501643666246799
"Red-rumped Parrot",0.420759019157796,0.119052930980928
"Yellow-tailed Black-Cockatoo",0.140789609757925,0.0420510701300887
"Sacred Kingfisher",0.35650783163822,0.0427136480472951
"Olive-backed Oriole",0.260847900484741,0.0518813241966845
"New Holland Honeyeater",0.450148273601102,0.21960371768509
"White-plumed Honeyeater",0.579827821126814,0.162630327312134
